YouTube,status,name,track,day,organization,photo,co-speaker,linkedin,linkedin2,title,abstract,twitter,twitter2,description,bio
https://youtu.be/gNN1o0GXNCs?feature=shared,confirmed,JJ Asghar,day2,2,IBM,JJ Asghar.png,,https://www.linkedin.com/in/jjasghar/,,Migrating a monolith to Cloud-Native and the stumbling blocks that you don’t know about,"Have you started your Cloud-Native journey? Now that you’ve gotten past that first hurdle, I’m here to say there’s more to think about. I’ll talk about stumbling blocks that a masked enterprise called AsgharLabs had to deal with, and hopefully shed some light on things you haven’t thought about.",@jjasghar,,,
https://youtu.be/Ecgr9PbikO8?feature=shared,confirmed,Ashish Bhalgat,day2,2,Thoughtworks,Ashish Bhalgat.png,,https://www.linkedin.com/in/ashishbhalgat/,,Chaos Engineering for Cloud native Apps,"Improve application resilience with chaos testing by deliberately introducing faults that simulate real-world outages. Azure Chaos Studio is a fully managed chaos engineering experimentation platform for accelerating discovery of hard-to-find problems, from late-stage development through production.",,,,
https://youtu.be/tOr2uZjLEk0?feature=shared,confirmed,Yash Kadakia,day2,2,ShadowMap,Yash Kadakia.png,,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAAADK3ooB5PeIzEkpzhUfkgbTX8XwTude4P8&keywords=yash%20kadakia&origin=RICH_QUERY_SUGGESTION&position=0&searchId=4fb64dd4-56a1-460d-aeea-3b85e183d576&sid=TIB&spellCorrectionEnabled=false,,DevSecOps - The Story of 3 Security Breaches,"Security is generally the compromise made in the interest of faster release cycles. This talk covers the story of three real-world security breaches and the DevSecOp failures behind them. Featuring vastly different environments, these stories highlight the commonalities in most security breaches.",@yashkadakia,,,
https://youtu.be/xQlLAfhO-es?feature=shared,confirmed,Frank Hofmann,day2,2,Cloudflare,Frank Hofmann.png,,https://www.linkedin.com/in/frank-hofmann-98733b2/,,Stateless Linux Kernel Crashdumps,"Ordinary Linux kdump support shares state between host system and crashkernel via root disk. How do you dump if there's no disks at all, or root disk LUKS keys aren't sharable with the crashkernel ? We demo a setup that successfully crashdumps by HTTP PUT using only crashkernel cmdline arguments.",,,,
https://youtu.be/NoifbcPcAJ0?feature=shared,confirmed,Antonio Cobo,day2,2,Contino,Antonio Cobo.png,,https://www.linkedin.com/in/antoniocobocuenca/,,Impostor syndrome in the IT world  from a conference speaker's perspective,Impostor Syndrome affects most of the people working in IT. It affects also conference speakers. I will share with you my struggles in public speaking and how I fight the impostor syndrome at every conference. Hopefully helping you to fight impostor syndrome in your every day life.,,,,
https://youtu.be/G6OMcBOBnvM?feature=shared,confirmed,Aengus Rooney,day2,2,Grafana Labs,Aengus Rooney.png,,https://www.linkedin.com/in/aengusrooney/,,From Zero Visibility to Full Observability with Grafana,The journey from zero to hero in the Observability field!,,,,
https://youtu.be/wda4ib1ZPbA?feature=shared,confirmed,Andrea Francesco Giunta,day2,2,Microsoft,Andrea Francesco Giunta.png,,https://www.linkedin.com/in/andreafgiunta/,,Secure your secrets with automation,"Secrets are something we need to implement to secure our apps/api communication, how can we handle secrets securely? This session will focus on secret definition, why it's important to rotate them and how to handle them in a secure way.
This session is based on a real business case, and include a demo on how to implement such solution.
The business case is related on automation of secrets used by external partners which previously needed human interaction to be rotate, with the content of this session humans need just to notify partners that there is a new secret.",,,,
https://youtu.be/e0aunaPxqFc?feature=shared,confirmed,Niels Roetert,day2,2,StormForge,Niels Roetert.png,,https://www.linkedin.com/in/nroetert/,,How to make Dev and Ops folks look good as an SRE,"There are many ways to make someone look good. As an SRE you can help your Dev and Ops colleagues with making sure their applications run reliably, perform well and don’t consume too much resources. Do this in a large environment, with many moving parts and you’ll be their hero. During this talk we’ll show you how you can leverage machine learning in Kubernetes based environments to achieve hero status with ease.",,,,
https://youtu.be/nKz5ueFgT48?feature=shared,confirmed,Ariel Illouz,day2,2,LinearB,Ariel Illouz.png,,https://www.linkedin.com/in/ariel-illouz/,,Dev Team Metrics that Matter,"What is the most valuable outcome? This is the most important question to answer before starting an engineering metrics program. In this talk I discuss which dev team metrics matter most, the outcome they produce, and pitfalls to avoid when starting a metrics initiative.",,,,
https://youtu.be/Qsi-U1sH4z4?feature=shared,confirmed,Ignat Korchagin,day2,2,Cloudflare,Ignat Korchagin.png,,https://www.linkedin.com/in/ignatk/,,An SRE guide to Linux Kernel upgrades,Are you afraid of production Linux Kernel upgrades? Too risky? But what if I told you that it is more risky NOT to upgrade your kernel regularly? And what if I told you it is safer to deploy the Linux Kernel than any other software? This talk aims to demystify Linux Kernel releases !,@ignatkn,,,
