ka,status,name,track,day,organization,photo,linkedin,linkedin2,twitter,twitter2,title,abstract,description,bio
,confirmed,Simon Hanmer & Ross Walker,SRE lessons,1,GlobalLogic,Simon Hanmer & Ross Walker.png,https://www.linkedin.com/in/simonhanmer/,https://www.linkedin.com/in/ross-walker-4b1653163/,@simonhanmer,,Mystery of the disappearing S3 Keys,"Imagine a system designed to process millions of events per day, but as use grows, data mysteriously seems to disappear, only to reappear later. We’ll talk about the what, why and how we investigated the symptoms, overturned some assumptions and finally delivered a resilient, serverless solution",,"Starting out in a very traditional background in the data-centres of the fabled M4 corridor, Simon eventually realised it was time to give up on the problems of manually babysitting servers, racks and UPS's and migrated to the Cloud (and in the process, the Scottish Highlands) and now works to enable clients to transition their workloads, processes and swag requirements to the same route.
Simon is a member of the AWS Community builder program, and these days enjoys coaching and mentoring as much as get hands-on with code, automation and head-scratching."
,,,,,,,,,,,,,,
,confirmed,Michael Cote,culture,1,VMware / Pivotal,Michael Cote.png,https://www.linkedin.com/in/michaelcote/,,@cote,,Developer productivity is waste,"We're developer productivity obsessed, worse, developer productivity METRICS obsessed. Deployment frequency! MTTR! eNPS! It's become a delightful distraction. Besides, who really benefits from this focus? This talk makes the case that we should focus more on actual craft and less on metrics.",,"[Michael Cote](https://cote.io/) studies how large organizations get better at building software to run better and grow their business. His [books](https://cote.io/books/) [_Changing Mindsets_](https://www.oreilly.com/library/view/changing-mindsets-the/9781098105839/?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), [_Monolithic Transformation_](https://tanzu.vmware.com/content/ebooks/monolithic-transformation?utm_source=cote&utm_campaign=devrel&utm_content=bioblock), and [_The Business Bottleneck_](https://content.pivotal.io/ebooks/the-business-bottleneck?utm_source=cote&utm_campaign=devrel&utm_content=bioblock)_ cover these topics. He's been an industry analyst at RedMonk and 451 Research, done corporate strategy and M&A, and was a programmer. He also co-hosts several podcasts, including [Software Defined Talk](https://www.softwaredefinedtalk.com/). His daily-ish newsletter is at [newsletter.cote.io](https://newsletter.cote.io/)."
,confirmed,George Lestaris,culture,1,Google,George Lestaris.png,https://www.linkedin.com/in/glestaris/?originalSubdomain=uk,,,,How Google SRE and developers work together,"SRE are Google's specialists for designing, building, and running complex services that are reliable, scalable, efficient, and maintainable. The SRE Engagement Model describes how the collaboration between developers and SREs works and how reliability engineering can be applied early in development.",,"George is a Site Reliability Engineer (SRE) currently working as a technical lead for the Google Ads SRE team in London, UK. With a background in software engineering and product management, he is passionate about understanding all aspects of tech product development and developer productivity.
Prior to joining Google, George gained valuable experience through his work at CERN, Pivotal, and startups, where he gained expertise in virtualization, Cloud Foundry PaaS, on-prem Kubernetes, and Python app development. He has also had the opportunity to share his knowledge at conferences such as PyCon UK, Cloud Foundry Summits, Open Source Summits, and computing for high-energy physics conferences (CHEP)."
,confirmed,Antonio Cobo Cuenca,culture,1,Cognizant,Antonio Cobo Cuenca.png,https://www.linkedin.com/in/antoniocobocuenca/,,@Mind_of_AC,,From Hero to Zero: practical guide to destroy your best employees,"All of us have attended lots of talks with the premise “from Zero to Hero…”, but what does it take for a real Rock Star, a real Ninja, a magical Unicorn, a superhero to become a complete Zero?
How can we destroy those heroes in a way that every supervillain on every film has dreamt about every day?",,"Antonio is an Agile enthusiast with more than 20 years experience in the IT industry and specialises in Agile methodologies. He comes from a technical background, starting his career as a Java Developer in Spain in 2000, moving to different roles within IT in three different countries. Antonio is passionate about creating and implementing the best solution while continually seeking to improve work methodologies. He is convinced that most of the problems in IT are due to lack of communication! He usually speaks about Agile, DevOps,Team management and mental health at conferences across Europe and US, such as DevOps Days, Agile Tour, JSConf, Codemotion and Voxxed Days."
,confirmed,Jorge Luis Castro Toribio,culture,1,NTT DATA,Jorge Luis Castro Toribio.png,https://www.linkedin.com/in/jorgeluiscastrotoribio/,,,,Navigating the Path to Reliability: Crafting an SRE Roadmap for Enterprise Success,"If you need to define a road map to build more reliable products through SRE building ways of working adoption, you need to make an strategy to have a solid why and a road map to reach outcomes iteratively while you follow SRE road map adoption at your company, in this talk we share a real experience",,"Jorge is an agilist, Agility & Digital Transformation Lead Coach, QA Manager, DevOps Program Manager, and global speaker who feels passion for Testing Automation, Agile, DevOps and business agility. He enjoys research and learning about business agility and working with cutting-edge technologies. He has been learning continuously for more than 12 years and is still learning new ways to foster enterprise agility and team greatness. He has worked in several roles (developer, tester, IT program manager, Software engineering in Test manager, QA manager, agile coach) which helps him to see the big picture and operational and team members dynamics happening inside organizations. This experience lets him help teams design, build, and implement digital, DevOps and agile transformation strategies. He encourages focus on: People, Productivity, Continuous improvement, Innovation and having fun to enjoy success in our agile journeys.
Jorge has been a speaker in Agile and DevOps events organized in Peru, Canada, UK, Netherlands, India, Germany, Mexico, Colombia, Nigeria, Panama, Azerbaijan, Australia, US among other countries."
,confirmed,Steve Wade,culture,1,Steven Wade Consulting,Steve Wade.png,https://www.linkedin.com/in/stevendavidwade/,,@swade1987,,From free-kicks to git commits,"Join me as I transition from football to tech, focusing on Kubernetes. Learn how teamwork, discipline, and strategy from sports influenced my tech career. Discover my journey into building developer platforms and the parallels between leading a sports team and orchestrating cloud-native environments",,"Steve Wade founded The Cloud Native Club, a global community for cloud-native enthusiasts. He is also a maintainer of the Flux Terraform Provider. As an experienced conference speaker, independent cloud-native consultant, and trainer, Steve shares his expertise worldwide. He has held platform leadership roles across various industries, including real estate, gaming, fintech, and the UK Parliament. With a BSc in Computer Science, Steve is passionate about cloud-native software development and distributed computing. Connect with him on Twitter and GitHub at [@swade1987](https://github.com/swade1987)."
,confirmed,Kyle Forster,culture,1,RunWhen,Kyle Forster.png,https://www.linkedin.com/in/kyforster/,,,,The RunWhen Authors Community: Royalties For Runbooks,"Inspired by work from hyperscale SRE teams, RunWhen is building the industry's largest open source library of troubleshooting automation. Contributing Authors receive royalties when the company's enterprise customers use their code to automate root cause analysis and remediation.","#### TL;DR
Hyperscale SRE teams don't use traditional runbooks. Instead, each team hooks in to a massive shared library of automated troubleshooting steps covering all layers of their infrastructure, platform and application dependencies. RunWhen is building a (paid) expert community to create an open source equivalent of these shared libraries, along with an enterprise AI platform that runs hundreds of automated troubleshooting steps in response to incoming alerts, questions, CI/CD jobs, etc. When an enterprise user imports automation from the RunWhen community, the original Author receives a royalty. This talk is for potential interested Authors.
#### Who is this for?
The RunWhen Authors program is an opportunity for SRE/PE/DevOps engineers who enjoy writing high quality automation for root cause analysis and remediation, or who simply want to learn about how hyperscale SRE teams think about their automation programs. In 2024, the RunWhen Authors program is focused primarily on the Kubernetes ecosystem -- underlying cloud infrastructure, platform, popular open source components (read: the top 100 Helm charts) and common application troubleshooting patterns.
#### What will we cover?
This talk will provide an overview of contributions to the library thus far, typical users of the library, how to spot a good potential contribution and the basics of structuring the automated steps in wrappers that the RunWhen platform can consume. We will go over some of the AI code authoring tools that the RunWhen team has written to make the process of creating high quality troubleshooting automation quickly. Several examples will be shown, along with links to learn more and pointers to hands-on workshops where attendees can write their first automated troubleshooting steps, publish them for the community and watch them executed by RunWhen AI Troubleshooting Assistants.","Kyle Forster is the Founder of RunWhen, a company pioneering the use of AI for troubleshooting mission critical applications in dev, test and production environments. Prior to RunWhen, Kyle was the Senior Director for Product Management in Google's Kubernetes team. He is a second time founder, having previously started Big Switch Networks, a pioneer in Software Defined Networking (acquired by Arista Networks). Kyle started his career at Cisco after doing an MBA and MS in Computer Science from Stanford University and an MSE in Electrical Engineering from Princeton University. He currently holds six patents in wireless and software defined networking technologies lives with his wife, three children and two dogs in the greater London area where he recently settled after relocating from Silicon Valley."
,confirmed,Nishkarsh Raj,culture,1,StatusNeo,Nishkarsh Raj.png,https://www.linkedin.com/in/nishkarshraj/,,@NishkarshRaj1,,Accelerating Developer Experience with Backstage,"The session would focus on the importance of Engineering Portals to accelerate Developer Experience by letting them ""Create"" Reusable Patterns, ""Manage"" their software catalog in a centralized inventory, and ""Explore"" the software ecosystem in a unified Single Pane of Glass.",,"Nishkarsh is a DevSecOps expert and an International GitHub Star. Nishkarsh is an ardent supporter of open-source, GitHub, DevEx, and DevOps. Nishkarsh serves as StatusNeo Inc.'s Principal Evangelist & Consultant. Over the years, he has been actively GitHubbing and contributing to open-source. By giving talks at conferences, organizing meetups, and encouraging people to take on the #100DaysofCode challenge, he has encouraged many brilliant minds to embark on their journeys in open-source projects and preach the significance of collaboration to aspiring developers."
,confirmed,Matt Simons,culture,1,Fanatics,Matt Simons.png,https://www.linkedin.com/in/matt-simons/,,,,Vertically Integrated in Platform Engineering: Secrets to Success When Operating the Company Within the Company,Why don't you get dedicated product support from the company? Why is it so hard to get a headcount for your platform team? Why is it so hard to drive adoption of the products you create for the dev org? The truth is that Platform Engineering is a company within a company. Run it that way.,,"Matt Simons is a Director of Engineering and Head of Platform Engineering at Fanatics Betting and Gaming. He is definitely a human and does very unsuspicious, typical human activities, like grating cheese and turning on light switches. Also he's terrible at writing bios for himself and probably doesn't take the activity (or himself) as seriously as he should. Mild contempt for convention and authority are a pretty core part of who he is. Despite all that, he's still a genuinely decent person who loves meeting new people and talking about interesting things. If you meet him in person, handshakes are allowed and hugs are encouraged. Be warned: he may smile at you."
,,,,,,,,,,,,,,
,confirmed,Chakkree Tipsupa,infra,1,AWS,Chakkree Tipsupa.png,https://www.linkedin.com/in/chakkree-tipsupa-689338148/,,,,"Harness the power of Karpenter to scale, optimize & upgrade Kubernetes","Unlock the full potential of Kubernetes with Karpenter! Scale effortlessly, optimize efficiently, and upgrade seamlessly. Join my talk to revolutionize your cloud infrastructure journey in just minutes! Don't miss out on this game-changing solution!",,"Having more than 10 years of working experience in the IT industry, I have worked in both pre-sales and post-sales roles. This made me be well-equipped with technical skills which helps enable me to work hand-in-hand with the customers to achieve their business outcomes. With a service mindset, I also learned how to build the relationship with the customers over time simply by putting myself in their shoes and learn what their pain points really are then we could find a remedy or a solution for that together. Moreover, I am a fast learner and love an environment in which allows me to have the ability to learn new things every day. After that, I could convey this information to my customers and peers what I have studied, which sometimes unexpectedly helps them to succeed in something. I am really proud of myself when I am one of the thousand pieces behind someone’s achievement."
,confirmed,Mateusz Zaremba & Krzysztof Wilczynski,infra,1,AWS,Mateusz Zaremba & Krzysztof Wilczynski.png,https://www.linkedin.com/in/mateusz-zaremba/,https://www.linkedin.com/in/3sztof/,,,"Cloud Development Kit: Less Code, Better Infrastructure","Join our session led by AWS DevOps experts! Dive deep into Infrastructure as Code, focusing on AWS CDK. Write less code, ensure consistency, reuse components, and stay in your IDE. Perfect for developers simplifying infrastructure management",,"Mateusz is a seasoned professional with a diverse background in technology. He is a DevOps Architect with AI/ML background. His expertise lies at the intersection of ML and DevOps, specializing in crafting robust infrastructures for AI/ML applications in the cloud, particularly within the automotive sector. Prior to this, Mateusz honed his skills as a full-stack developer, proficient in Django and React. Beyond tech, he brings a unique perspective as an aerospace engineer and avid sailor. This rich blend of skills and experiences empowers Mateusz to drive innovation and efficiency in the ever-evolving tech landscape."
,confirmed,Andrei Kvapil,infra,1,Ænix,Andrei Kvapil.png,https://www.linkedin.com/in/kvaps/,,@kvaps,,"Mastering Metal: Our Journey to Stable, Reproducible Infrastructures with Talos Linux and Cozystack",How to deploy a reproducible environment on bare metal with Talos Linux. Our experience in developing an open platform designed for on-premise. How we ensure component stability on any hardware.,,"Linux and Open Source fanboy. Developer Advocate and crazy idea generator.
I like to find non-standard solutions and promote them to the community.
Over the years, I've gathered a lot of experience with free virtualization platforms and software-defined storage.
Currently, most of the technologies I work with are Kubernetes, LINSTOR and KubeVirt."
,confirmed,Carlo Ventrella,infra,1,Agilelab,Carlo Ventrella.png,https://www.linkedin.com/in/carlo-ventrella-02752b71/,,,,A multi-environment deployment strategy for a Kubernetes-based microservice architecture,"Imagine a product made of a number of microservices on Kubernetes and dozens of devs working on them. Now imagine multiple environments, where they must be deployed, tested and demoed at the speed of light.
Let's put all of this together in a design that satisfies devs, customers and SRE's nights!",,
,confirmed,Hrittik Roy,infra,1,Loft Labs,Hrittik Roy.png,https://www.linkedin.com/in/hrittikhere/,,@hrittikhere,,Virtual Kubernetes Clusters: A New Approach to Multi-tenancy,"Virtual Kubernetes cluster is a new approach to dealing with Kubernetes multi-tenancy pain. With virtual k8s clusters, each tenant has what feels like a full-blown, dedicated cluster inside a shared host cluster.
Let's learn how you can use a virtual cluster to save costs and improve productivity.",,"Hrittik is currently Platform Advocate at Loft Labs and a CNCF Ambassador, who has previously worked at various startups helping them scale their content efforts. He loves diving deep into distributed systems and creating articles on them and has spoken at conferences such as Azure Cloud Summit, UbuCon Asia and Kubernetes Community Days - Lagos and Chennai among others! His best days are when he finds ways to create impact in the communities he’s a part of either by code, content, or mentorship!"
,confirmed,Harel Safra,infra,1,Riskified,Harel Safra.png,https://www.linkedin.com/in/harelsafra/,,,,When Infrastructure as Code Ends - Jump in and Create Some More,"Adding new functionality to Terraform can be daunting: it’s written only in Go (which you may not know) and you have to understand the architecture and work through less than welcoming documentation. I’ll provide a walkthrough from my experience with it, going from zero to publishing a provider.",,"Harel Safra is a Data Platform Engineering Team Lead at Riskified, a Fintech company focusing on fraud prevention. His team manages the online data platform supporting real time fraud detection systems.
He has worked in various Data And Infrastructure roles throughout his career, always striving for simpler ways to achieve scalable, optimally performing systems"
,confirmed,Aleksei Popov,infra,1,Stenn International,Aleksei Popov.png,https://www.linkedin.com/in/aleksei-popov-771b34233/,,,,Architecture of a Fintech Startup: Tackling Growing Complexity at Scale,"A comprehensive overview of various aspects of building a highly scalable fintech startup with a product-led strategy. In this talk, I will share insights on different problems and solutions for tackling the inevitable growing complexity during the scaling of a fintech startup. He will also discuss the role of technology in enhancing customer experience and streamlining operations.",,"Alex is a dedicated Software Engineering Manager with a specialization in the .NET environment and software architecture. Currently serving as the Engineering Lead at a prominent fintech company in London, Alex has led the development and deployment of critical products that have made significant impacts on the fintech landscape. His initiatives have directly led to the enhancement of payment systems, the introduction of innovative financial solutions, and the strengthening of security measures. These contributions have not only propelled the company's growth but have also set new standards in the industry."
,confirmed,Thijs Feryn,infra,1,Varnish Software,Thijs Feryn.png,https://www.linkedin.com/in/thijsferyn/,,@ThijsFeryn,,Caching the uncacheable in Varnish,"Learn how to accelerate web applications and APIs by caching the HTTP output in Varnish. Instead of focusing on basic use cases with static content that is easily cacheable, this presentation shows how to cache personalized content ""on the edge"", that is otherwise deemed uncacheable.",,"As the Technical Evangelist at [Varnish Software](https://www.varnish-software.com), Thijs Feryn focuses on web performance, software scalability, and content delivery. He demonstrates content-driven and technical messaging through presentations, [videos](https://www.youtube.com/@Varnish-software/videos), books, blog posts, social media posts, podcasts, and other media.
Thijs is a published author and wrote [Getting Started with Varnish Cache](https://www.oreilly.com/library/view/getting-started-with/9781491972212/) and [Varnish 6 by Example](https://info.varnish-software.com/resources/varnish-6-by-example-book). As a public speaker, he has [a track record of over 300 presentations in 22 countries](https://feryn.eu/presentations), where he is often praised for his energetic and engaging presentation style.
As an evangelist, Thijs is also active in many open-source communities, most notably the Varnish and PHP community. He has contributed to various communities for over 15 years both technically and as an organizer and facilitator.
Prior to joining Varnish Software, Thijs Feryn spent 15 years in the web hosting industry, tackling web performance and scalability issues on a daily basis and evangelizing these topics.
For more information, please visit - [https://feryn.eu/speaking](https://feryn.eu/speaking)"
,,,,,,,,,,,,,,
,confirmed,Steve Flanders,observability,2,Cisco,Steve Flanders.png,https://www.linkedin.com/in/steveflanders/,,@smflanders,,Mastering OpenTelemetry Collector Configuration,"Are you struggling to make sense of your telemetry data or overwhelmed by your system's sheer volume and complexity? Learn how the OpenTelemetry Collector can help you streamline data collection, optimize performance, and gain unparalleled insights into your applications.","Configuring the OpenTelemetry Collector can be a daunting task for both novices and seasoned professionals alike. Yet, mastering this crucial aspect is essential for unlocking the full potential of your observability stack. In this session, you will embark on a journey to gain the knowledge and skills needed to conquer common OpenTelemetry Collector configuration challenges. This session will draw from real-world experiences and best practices and provide live demonstrations to navigate the intricacies of OpenTelemetry Collector configuration. Whether you are a novice looking to get started or a seasoned veteran seeking to level up your skills, this session promises to empower you with the knowledge and confidence needed to properly and efficiently configure the OpenTelemetry Collector.","Steve Flanders is a Senior Director of Engineering at Splunk (acquired by Cisco) responsible for the Observability Platform team, which includes contributions to the OpenTelemetry project. He was previously the Head of Product at Omnition (acquired by Splunk). Prior to Omnition, he led log analytics and data collection at VMware. Steve is writing a book called Mastering OpenTelemetry and Observability: Enhancing Application and Infrastructure Performance and Avoiding Outages, which will be available this fall."
,confirmed,Dave McAllister,observability,2,NGINX,Dave McAllister.png,https://www.linkedin.com/in/davemc/,,@dwmcallister,,The Subtle Art of Lying with Statistics,"Lies, damned lies and statistics. But statistics allow you to lie to yourself. Statistics can trick us into believing things that are less than true, though not on purpose. Learn how data choice, event focus and scale change perspective. See how graphs mislead and correlation can cause confusion.",,"Currently providing technical evangelism for NGINX, Dave works with DevOps, developers and architects to understand the advantages of modern microservice architectures and orchestration to solve large-scale distributed systems challenges, especially with open source and its innovation. Dave has been a champion for open systems and open source from the early days of Linux, through open distributed file systems like XFS, GFS, and GlusterFS to today's world of clouds and containers. He often speaks on topics such as the real-world issues associated with emerging software architectures and practices, on open source software and on creating new technology companies. Dave has spoken on technical topics like distributed request tracing, modern monitoring practices, open sources projects from both corporations and foundation views, and on how open source innovations powers todays world.
Dave was named as one of the top ten pioneers in open source by Computer Business Review, having cut his teeth on Linux and compilers before the phrase ""open source"" was coined. Well versed in trivia, he won a Golden Penguin in 2002. When he's not talking, you can find him hiking with his trusty camera, trying to keep up with his wife."
,confirmed,Erwin de Keijzer,observability,2,Fullstaq,Erwin de Keijzer.png,https://www.linkedin.com/in/erwindekeijzer/,,,,"A deep dive into Perses, the GitOps Native dashboard visualization tool","Perses is to Prometheus as what Grafana was for graphite. And even though Grafana has become so much more, Perses is an extremely interesting new entry into the dashboad/visualisation space. This talk will have an up to date demo and some of the unique advantages Perses offers over alternatives.",,"Erwin is a DevOps Engineer at Fullstaq. He loves educating people what it means to build cloud native applications (and it’s not just using the “cloud”). Using the Cloud Native landscape to make application delivery and lifecycle simple and reliable. At home he is always looking for sidequests; monitoring his power usage to send notifications when his washing machine is done, connecting the garage door to the internet (securely) and adding music to his elevator are just a few examples. His experience makes him a very practical engineer, finding the simple solution is more important than having a modern, shiny solution."
