Name,Job,Company,Twitter,Testimonial,Event,Speaker,Headshot
Henrik Rexed,Cloud Native Advocate,Dynatrace,,I loved it. Great selection of talks in a wonderful venue.,SREday 2023 London,Yes,Henrik Rexed.png
Joy Chatterjee,Founder,The Joy of Data,JoyofData,"It was such a great experience! So glad I had the opportunity to attend and speak. Will definitely be re-applying to speak next year. The talks covered both critical aspects of SRE as well as other tools and data-related topics. Everything was super well-organized, including speaker dinners and the event venue! Mark and Mikolaj were such amazing hosts; seriously, thank you for a wonderful conference!",SREday 2023 London,Yes,Joy Chatterjee.png
Kat Gaines,Developer Advocate,PagerDuty,strawberryf1eld,"SREday was a really fantastic event driven by a community-minded approach to content and networking! As a speaker, I not only felt that I had an audience who was really participating with my content, but that I also learned a ton from the other speakers.",SREday 2023 London,Yes,Kat Gaines.png
Krishna Pomar,Lead SRE,Smarsh,,"It was a great experience for me presenting to the audience, and at the same time, it was a really good learning experience from other presenters too.",SREday 2023 London,Yes,Krishna Pomar.png
Ludovic Farine,VP of Operations,Cloudsoft,,"Loved the energy, loved the attendees, and the range of speakers and industries. It was very cool to network with many great minds and discuss challenges and solutions of other SREs.",SREday 2023 London,Yes,Ludovic Farine.png
Madhu Kumar Reddy,Architect,Samsung,,"I thoroughly enjoyed participating in SREday 2023 as a speaker. The conference was rich with insightful topics, and the networking opportunities were invaluable. My presentation on ""Chaos Engineering with Game Theory Principles"" was received with great enthusiasm, and I am truly grateful for the platform to share and exchange knowledge. Thank you for organizing such a productive and enlightening event.",SREday 2023 London,Yes,Madhu Kumar Reddy.png
Mahesh Venkataraman,Managing Director - Advisory services enterprise architecture process and technology transformation,Accenture,maheshv713,Right-sized conference designed to maximize audience and speaker interactions.,SREday 2023 London,Yes,Mahesh Venkataraman.png
Mandi Walls,DevOps Advocate,PagerDuty,lnxchk,"Great content and a nice variety of speakers, and plenty of interesting folks in the audience as well. An excellent event for folks in the SRE space!",SREday 2023 London,Yes,Mandi Walls.png
Michael Cote,Senior Member Of Technical Staff,VMware/Pivotal,cote,"I like smaller, regional conferences so that I can see more people, especially those who can't travel to the massive industry events.",SREday 2023 London,Yes,Michael Cote.png
Sarjeel Yusuf,Product Manager,Datadog,SarjeelY,"It was a great experience, and this was the first time I had ever presented a talk in a movie theater, and the level of the talks was amazing. The audience was very engaged in the talks, as was evident from the type of questions that were asked after the talk.",SREday 2023 London,Yes,Sarjeel Yusuf.png
Simon Copsey,Founder & Coach,Curious Coffee Club,,"SREday offered a wonderful venue for a welcoming community to learn about important topics. The buzz and variety of talks are unlike any other conference I've attended. Thank you, SREday!",SREday 2023 London,Yes,Simon Copsey.png
Temitope Faro,Staff Engineer,Depop,topriddy,It was a good opportunity to join other professionals of similar interest working to bring improvements and innovation in the field of SRE and related.,SREday 2023 London,Yes,Temitope Faro.png
